sample_id,source_sample_id,target_uid,target_class_id,target_class_name,target_instance_id,target_color,height,width,bbox,dice,iou,precision,recall,specificity,balanced_accuracy,hd95,assd,relative_area_error,infer_ms
patient0001_2CH_ED_f000__lv,patient0001_2CH_ED_f000,patient0001_2CH_ED_f000__lv,1,LV,0,#1f77b4,549,389,"[53, 218, 283, 380]",0.9030450625308992,0.8232289510582894,0.9568135961508614,0.8549980929926146,0.9939746643568644,0.9244863786747395,22.814466461504708,8.003454606400814,-0.10641101210082868,794.7640259953914
patient0001_2CH_ED_f000__la,patient0001_2CH_ED_f000,patient0001_2CH_ED_f000__la,3,LA,0,#2ca02c,549,389,"[284, 259, 388, 378]",0.8535661687355355,0.7445402826206643,0.9679112489562209,0.763383196914103,0.9986744328149331,0.881028814864518,25.179144196185945,7.849909841827933,-0.21130868378963213,203.9597350085387
patient0001_2CH_ES_f000__lv,patient0001_2CH_ES_f000,patient0001_2CH_ES_f000__lv,1,LV,0,#1f77b4,549,389,"[64, 241, 249, 343]",0.9128461349002498,0.8396659977992103,0.9469304328783122,0.8811302812117918,0.9963437756174593,0.9387370284146256,14.0,5.0929259571914685,-0.06948784132590681,205.50078799715266
patient0001_2CH_ES_f000__la,patient0001_2CH_ES_f000,patient0001_2CH_ES_f000__la,3,LA,0,#2ca02c,549,389,"[246, 242, 388, 382]",0.9120942075111395,0.8383944766251243,0.9897768874766871,0.8457179956324146,0.9992472713586752,0.9224826334955449,19.0,6.0340564467386,-0.1455468335005607,217.00300699740183
patient0001_4CH_ED_f000__lv,patient0001_4CH_ED_f000,patient0001_4CH_ED_f000__lv,1,LV,0,#1f77b4,549,389,"[48, 210, 287, 397]",0.8838011149421583,0.791795375155172,0.9565778459821429,0.8213152063244894,0.9930897445148112,0.9072024754196504,20.0,10.468065642542435,-0.14140264718212853,191.46584600093774
patient0001_4CH_ED_f000__la,patient0001_4CH_ED_f000,patient0001_4CH_ED_f000__la,3,LA,0,#2ca02c,549,389,"[284, 249, 388, 381]",0.7678446935163833,0.6231720055710307,0.9892220533370181,0.6274320771253287,0.9996141498186999,0.8135231134720142,21.0,11.272070896366746,-0.3657318141980719,216.57625200168695
patient0001_4CH_ES_f000__lv,patient0001_4CH_ES_f000,patient0001_4CH_ES_f000__lv,1,LV,0,#1f77b4,549,389,"[54, 243, 247, 365]",0.8954940438510675,0.8107643411660501,0.9436628259551243,0.8520039421813403,0.9952431424957885,0.9236235423385644,13.101402705563627,6.742673411673254,-0.09713096802452913,213.9508849941194
patient0001_4CH_ES_f000__la,patient0001_4CH_ES_f000,patient0001_4CH_ES_f000__la,3,LA,0,#2ca02c,549,389,"[245, 234, 388, 375]",0.8491471561061028,0.7378416455339533,0.9979420731707317,0.7389660232531888,0.999862134464852,0.8694140788590203,28.170562748477117,9.664748933579114,-0.2595101027203973,211.23899500526022
patient0002_2CH_ED_f000__lv,patient0002_2CH_ED_f000,patient0002_2CH_ED_f000__lv,1,LV,0,#1f77b4,748,584,"[106, 289, 365, 438]",0.7899409383009547,0.6528118860510805,0.9789173264592156,0.6621209290740395,0.9988683366525497,0.8304946328632946,53.0,16.64812365637153,-0.323619154368267,218.4476020047441
patient0002_2CH_ED_f000__la,patient0002_2CH_ED_f000,patient0002_2CH_ED_f000__la,3,LA,0,#2ca02c,748,584,"[345, 318, 493, 442]",0.8191169091821375,0.6936477586573189,0.961330846991854,0.7135572229911853,0.9990687890712707,0.8563130060312281,33.367547037052546,10.130469314433375,-0.25774022000437097,209.89111199742183
patient0002_2CH_ES_f000__lv,patient0002_2CH_ES_f000,patient0002_2CH_ES_f000__lv,1,LV,0,#1f77b4,748,584,"[121, 316, 322, 424]",0.867430441898527,0.7658959537572254,0.9986490329920364,0.7666903215241007,0.9999546011712898,0.8833224613476952,20.8806130178211,8.494221713157907,-0.2322725039576396,211.06481899914797
patient0002_2CH_ES_f000__la,patient0002_2CH_ES_f000,patient0002_2CH_ES_f000__la,3,LA,0,#2ca02c,748,584,"[316, 319, 495, 474]",0.8824116201552273,0.7895676405277137,0.9659617535822724,0.812164098889287,0.9984583984714261,0.9053112486803565,16.48786235068994,8.923560000539599,-0.15921712647796488,218.5951530118473
patient0002_4CH_ED_f000__lv,patient0002_4CH_ED_f000,patient0002_4CH_ED_f000__lv,1,LV,0,#1f77b4,748,584,"[106, 327, 384, 502]",0.8564566997482712,0.7489499519255098,0.9928887696229706,0.7529890613075553,0.9994666961828528,0.876227878745204,31.953090617340916,13.05869115005424,-0.24161790892902568,215.7511209952645
patient0002_4CH_ED_f000__la,patient0002_4CH_ED_f000,patient0002_4CH_ED_f000__la,3,LA,0,#2ca02c,748,584,"[369, 343, 499, 468]",0.6953608004153098,0.532990884097815,0.9762788232175987,0.539983874514403,0.9995770211418539,0.7697804478281285,30.870698080866262,16.079415825040954,-0.4468958440225757,207.65244899666868
patient0002_4CH_ES_f000__lv,patient0002_4CH_ES_f000,patient0002_4CH_ES_f000__lv,1,LV,0,#1f77b4,748,584,"[112, 299, 341, 441]",0.7220840734162226,0.5650481838398814,0.9979053479086208,0.5657191628321211,0.9999219291311688,0.782820545981645,50.54898405201671,18.13682249268902,-0.4330933649992578,217.99496898893267
